starId	movieId
nm9424168	ADv22
nm9423521	ADw17
nm9425600	ADw17
nm9424968	ADw22
nm9423088	ADw22
nm9425461	ADw22
nm9426957	ADw22
nm9429121	ADw27
nm9427420	ADw27
nm9427439	ADw27
nm9429160	ADw27
nm9426305	ADw27
nm9429191	ADw35
nm9425842	ADw35
nm9429319	ADw35
nm9429663	ADw35
nm9427569	ADw35
nm9423650	ADw35
nm9428487	ADw35
nm9429191	ADw40
nm9428670	ADw40
nm9425611	ADw40
nm9429091	ADw40
nm9423837	ADw40
nm9429104	ADw40
nm9428414	ADw40
nm9428084	ADw41
nm9429884	ADw41
nm9428628	ADw41
nm9428989	ADw41
nm9423650	ADw41
nm9427480	ADw41
nm9423871	ADw41
nm9426957	ADw41
nm9429914	ADw41
nm9423193	ADw41
nm9427816	ADw41
nm9426040	ADw41
nm9423191	ADw45
nm9423431	ADw45
nm9428628	ADw45
nm9423323	ADw45
nm9429091	ADw45
nm9426957	ADw45
nm9426495	ADw52
nm9424552	ADw52
nm9423334	ADw52
nm9429609	ADw60
nm9423126	ADw60
nm9429348	ADw60
nm9423641	ADw60
nm9429625	ADw60
nm9428228	ADw70
nm9424949	ADw70
nm9425232	ADw70
nm9424075	ADw70
nm9424896	ADw70
nm9429712	ADw72
nm9424590	ADw72
nm9424590	ADw72
nm9423912	ADw72
nm9423097	ADw72
nm9428141	ADw72
nm9424075	ADw72
nm9424611	ADw72
nm9427919	ADw75
nm9428228	ADw75
nm9425098	ADw75
nm9423243	ADw75
nm9425433	ADw75
nm9424669	ADw75
nm9427110	ADw78
nm9427438	ADw78
nm9424996	ADw78
nm9429502	ADw78
nm9425232	ADw78
nm9428525	ADw78
nm9424475	ADw80
nm9425098	ADw80
nm9427919	ADw80
nm9429175	ADw80
nm9423131	ADx12
nm9426261	ADx13
nm9424616	ADx14
nm9423442	ADx30
nm9425742	ADx30
nm9423261	ADx37
nm9424964	ADx37
nm9428200	ADz10
nm9428727	ADz10
nm9426302	ADz15
nm9428271	AEG25
nm9426885	AEG25
nm9424881	AEG25
nm9428957	AEG37
nm9427940	AEG37
nm9424546	AEG41
nm9429287	AEG41
nm9426735	AEG41
nm9428850	AEG41
nm9425117	AEG41
nm9423172	AEG50
nm9427119	AEG50
nm9429175	AEG50
nm9429563	AEG50
nm9426909	AEG50
nm9424622	AEG50
nm9427879	AEG60
nm9426187	AEG60
nm9424622	AEG60
nm9426372	AEG60
nm9424723	AEG60
nm9428746	AEG60
nm9425420	AEG60
nm9423512	AEG60
nm9423157	AEG60
nm9423995	AEG70
nm9426908	AEG70
nm9425189	AEG70
nm9427372	AEG70
nm9425668	AES10
nm9426600	AES10
nm9425063	AES11
nm9423835	AES11
nm9423285	AES70
nm9423292	AES70
nm9423431	AES70
nm9428456	AES70
nm9423682	AES70
nm9426227	AES74
nm9424939	AES74
nm9423907	AES74
nm9423172	AES74
nm9425668	AES80
nm9426600	AES80
nm9427874	AES80
nm9425265	AES80
nm9423456	AES85
nm9425973	AES85
nm9425637	AES85
nm9425621	AES85
nm9425930	AES85
nm9425434	AES85
nm9426549	AES85
nm9427386	AES85
nm9425981	AES85
nm9423212	AES85
nm9426188	AES90
nm9426323	AES90
nm9423082	AES90
nm9424372	AES90
nm9424446	AES90
nm9424015	AES90
nm9423697	AES90
nm9428165	AES100
nm9429913	AES100
nm9423931	AES100
nm9426922	AES100
nm9427902	AES100
nm9429644	AES100
nm9424688	AES100
nm9426886	AES100
nm9428790	AES100
nm9425063	AES100
nm9429350	AES100
nm9425919	AEy16
nm9428054	AEy16
nm9425956	AEy18
nm9423759	AFl10
nm9423392	AFl10
nm9427091	AHo1
nm9423289	AG20
nm9429441	AG20
nm9425257	AG30
nm9423289	AG40
nm9425689	AgH1
nm9424618	AgH10
nm9428880	AgH15
nm9426667	AgH19
nm9425075	AgH19
nm9423307	AGl10
nm9423403	AGl10
nm9428914	AGl10
nm9423281	AGl10
nm9424664	AGl10
nm9424298	AGl12
nm9423998	AGl12
nm9424596	AGl12
nm9425689	AGl12
nm9423716	AGr10
nm9428940	AHb20
nm9424628	AHb20
nm9426476	AiE10
nm9423985	AII1
nm9426769	AII3
nm9428903	AII3
nm9428585	AJa1
nm9428314	AJa1
nm9427744	AJa1
nm9426978	AJd10
nm9426600	AJG50
nm9425668	AJG50
nm9425072	AJG50
nm9425727	AJG50
nm9424468	AJG50
nm9424462	AJo10
nm9426286	AJo10
nm9426928	AJo10
nm9425111	AJP1
nm9429108	AJP1
nm9428618	AJP1
nm9425253	AJP1
nm9429333	AJP1
nm9425912	AJP1
nm9423502	AJP2
nm9428095	AJP2
nm9424420	AJP2
nm9424510	AJP2
nm9428234	AJP3
nm9425897	AJP3
nm9429558	AJP3
nm9423400	AJP3
nm9425903	AJP3
nm9423156	AJP3
nm9428301	AJP5
nm9424206	AJP5
nm9423580	AJP5
nm9423365	AJP5
nm9425111	AJP6
nm9426476	AJP6
nm9424420	AJP6
nm9429079	AJP7
nm9426431	AJP7
nm9426914	AJP7
nm9425125	AJP15
nm9426231	AJP15
nm9428610	AJP15
nm9424636	AJP15
nm9429784	AJP15
nm9428392	AJP25
nm9429581	AJP25
nm9424442	AJP25
nm9424420	AJP25
nm9425781	AJP25
nm9425125	AJP29
nm9428026	AJP29
nm9423651	AJP29
nm9429749	AJP29
nm9423473	AJs1
nm9423463	AJs1
nm9426225	AJs1
nm9429278	AJs1
nm9425214	AK50
nm9428168	AK50
nm9426597	AK57
nm9427704	AK57
nm9423431	AK57
nm9423447	AK57
nm9426534	AK57
nm9426668	AK90
nm9427492	AK90
nm9423181	AK90
nm9429710	AK90
nm9423236	AK90
nm9426931	AKe1
nm9423604	AKe1
nm9424373	AKe1
nm9423502	AKe1
nm9427964	AKe5
nm9426322	AKe5
nm9427061	AKj11
nm9424685	AKj11
nm9427595	AKj11
nm9429607	AKj12
nm9424306	AKj12
nm9428234	AKj13
nm9427473	AKj13
nm9427880	AKj14
nm9427615	AKj15
nm9429802	AKj15
nm9426066	AKj16
nm9428854	AKj16
nm9424827	AKj16
nm9428895	AKj16
nm9424994	AKj17
nm9424653	AKj17
nm9429678	AKj17
nm9424694	AKj19
nm9424249	AKj19
nm9426670	AKj20
nm9428267	AKj20
nm9423990	AKj21
nm9427286	AkK7
nm9428781	AkK7
nm9427286	AkK11
nm9428781	AkK11
nm9426494	AkK12
nm9427286	AkK14
nm9428781	AkK14
nm9428781	AkK15
nm9427286	AkK20
nm9427286	AkK22
nm9427286	AkK23
nm9428654	AkK29
nm9425331	AkK30
nm9429489	AKo10
nm9428390	AKo10
nm9427202	AKo10
nm9428943	AKo15
nm9428517	AKo15
nm9426016	AKo15
nm9425956	AKo15
nm9423174	AKu10
nm9423758	AL8
nm9424528	AL8
nm9424242	AL10
nm9423758	AL10
nm9428205	AL10
nm9426818	AL10
nm9424332	AL10
nm9426137	AL10
nm9428415	AL11
nm9426145	AL11
nm9424415	AL11
nm9427834	AL11
nm9427780	AL11
nm9426743	AL11
nm9423758	AL12
nm9424546	AL12
nm9427770	AL12
nm9429630	AL12
nm9429663	AL12
nm9424505	AL12
nm9424536	AL12
nm9425644	AL12
nm9424375	AL12
nm9426821	AL12
nm9425269	AL13
nm9427713	AL13
nm9428768	AL13
nm9427251	AL13
nm9424382	AL13
nm9427780	AL13
nm9426743	AL13
nm9428415	AL14
nm9426847	AL14
nm9428574	AL14
nm9428990	AL14
nm9423952	AL16
nm9428768	AL16
nm9424399	AL16
nm9424415	AL16
nm9426344	AL16
nm9427179	AL16
nm9429272	AL16
nm9428153	AL16
nm9425110	AL20
nm9426532	AL21
nm9428324	AL21
nm9424361	AL21
nm9423523	AL21
nm9424934	AL21
nm9424306	AL21
nm9424608	AL22
nm9425918	AL22
nm9426564	AL22
nm9424934	AL22
nm9423708	AL22
nm9427899	AL22
nm9428614	AL22
nm9423590	AL26
nm9423880	AL26
nm9425768	AL26
nm9426028	AL26
nm9429153	AL26
nm9423350	AL26
nm9424661	AL26
nm9428614	AL26
nm9423880	AL27
nm9426361	AL27
nm9428380	AL27
nm9427454	AL27
nm9427019	AL27
nm9427557	AlA10
nm9424121	AlA10
nm9424055	AlA10
nm9424055	AlA10
nm9424892	AlA10
nm9429151	AlA10
nm9424551	AlA10
nm9424456	AlA50
nm9424055	AlA50
nm9423639	AlA50
nm9426535	AlA50
nm9425181	AlA50
nm9427559	AlB10
nm9427890	AlB10
nm9425040	AlB10
nm9424671	AlC10
nm9426978	AlC14
nm9424645	AlC20
nm9428574	ALe1
nm9427020	ALe1
nm9425329	ALe1
nm9423480	ALe1
nm9429206	ALe1
nm9423682	ALe1
nm9423474	ALe1
nm9428574	ALe2
nm9426573	ALe2
nm9428244	ALe2
nm9425365	ALe2
nm9426608	ALe2
nm9427061	ALe4
nm9425266	ALe4
nm9429571	ALe4
nm9427900	ALe4
nm9428821	ALe4
nm9426602	ALe4
nm9425437	ALe4
nm9429712	ALe7
nm9425041	ALe7
nm9425253	ALe7
nm9428825	ALe7
nm9424467	ALe7
nm9423888	ALe7
nm9424468	AlG11
nm9424468	AlG11
nm9426642	AlG11
nm9427517	AlG11
nm9429191	AlH8
nm9427244	AlH8
nm9423625	AlH8
nm9427820	AlH8
nm9423619	AlH8
nm9429884	AlH21
nm9427303	AlH21
nm9425570	AlH21
nm9425265	AlH21
nm9425628	AlH21
nm9427393	AlH24
nm9425953	AlH24
nm9426372	AlH24
nm9428174	AlH24
nm9425889	AlH24
nm9425465	AlH30
nm9423655	AlH30
nm9424622	AlH30
nm9425207	AlH30
nm9423085	AlH30
nm9429855	AlH38
nm9427303	AlH38
nm9428211	AlH38
nm9427535	ALi10
nm9423760	ALi10
nm9426414	ALi10
nm9423326	ALi10
nm9423275	ALi10
nm9427942	ALi15
nm9429053	ALi15
nm9423401	AlJ1
nm9423836	AlJ1
nm9427084	AlJ1
nm9426754	AlJ1
nm9425040	AlJ1
nm9428350	AlJ1
nm9424836	AlJ1
nm9425577	AlJ1
nm9424084	AlM10
nm9429300	AlM10
nm9426551	AlM10
nm9427829	AlP15
nm9428541	AlP15
nm9423390	AlP15
nm9428151	AlP15
nm9429894	AlP15
nm9424245	AlR1
nm9426424	AlR1
nm9423371	AlR1
nm9423965	AlR1
nm9425088	AlR1
nm9424596	AlR1
nm9426411	ALs10
nm9427788	ALs10
nm9425968	ALs10
nm9426780	AlT10
nm9428415	ALv10
nm9425398	ALv10
nm9429008	ALv10
nm9425620	ALv10
nm9429724	ALv10
nm9423633	ALv10
nm9429403	ALv10
nm9425954	ALv100
nm9429729	ALv100
nm9427507	ALv100
nm9425112	ALv101
nm9424925	ALv101
nm9429664	ALv101
nm9423269	AlW40
nm9429884	AlW40
nm9426264	AlW40
nm9429887	AlW40
nm9428869	AlW40
nm9429663	AlW40
nm9427492	AlW40
nm9428205	AlW60
nm9423871	AlW60
nm9429914	AlW60
nm9426859	AlW60
nm9426385	AlW60
nm9424217	AlW60
nm9428989	AlW60
nm9425434	AlW60
nm9423177	AlZ4
nm9427220	AlZ4
nm9429778	AlZ4
nm9429638	AlZ5
nm9423421	AlZ5
nm9428732	AlZ5
nm9424321	AlZ5
nm9424048	AlZ5
nm9423534	AM12
nm9426480	AM12
nm9425976	AM18
nm9424546	AM18
nm9423693	AM18
nm9429275	AM18
nm9425117	AM18
nm9425620	AM18
nm9425471	AM18
nm9425730	AM18
nm9427147	AM20
nm9427713	AM20
nm9423693	AM21
nm9425117	AM21
nm9428768	AM21
nm9428607	AM21
nm9428323	AM21
nm9423098	AM21
nm9425730	AM21
nm9425876	AM21
nm9426743	AM21
nm9423780	AM21
nm9425628	AM21
nm9425759	AM21
nm9424329	AM23
nm9428205	AM23
nm9429340	AM23
nm9423431	AM23
nm9425600	AM23
nm9423418	AM23
nm9428165	AM27
nm9423564	AM27
nm9428011	AM27
nm9427664	AM27
nm9425320	AM27
nm9425176	AM29
nm9424916	AM29
nm9423488	AM29
nm9424406	AM29
nm9425570	AM29
nm9428523	AM31
nm9427391	AM31
nm9423423	AM31
nm9427312	AM31
nm9426541	AM31
nm9428456	AM31
nm9427049	AM35
nm9427048	AM35
nm9427050	AM35
nm9424772	AM35
nm9424259	AM35
nm9428713	AM35
nm9427515	AM36
nm9428174	AM36
nm9423488	AM36
nm9428583	AM36
nm9425930	AMa10
nm9425133	AMa10
nm9427441	AMa10
nm9425855	AMa10
nm9429609	AMa50
nm9427362	AMa50
nm9425110	AMa50
nm9428534	AMa50
nm9428975	AMa50
nm9429509	AMa50
nm9428582	AMa50
nm9423623	AMa50
nm9425041	AMa50
nm9426032	AMa50
nm9427337	AMa50
nm9427155	AMa50
nm9429693	AMa50
nm9425133	AMa50
nm9423141	AMa50
nm9427708	AMa50
nm9423932	AMa50
nm9429344	AMa50
nm9426445	AMa50
nm9424517	AMa50
nm9428191	AMa50
nm9423920	AMa50
